No;Kurum;Ders Kategorisi;Ders Açıklaması;Ders Konusu;Tarih;Süre;Klasör Adı;Oynatma Linki
225;Türkçe ÖABTdeyiz;2025 - GENEL TEKRAR;;DÖRT TEMEL BECERİ - 7;11.07.2025 18:39;45 dk;059f2ad29732c04932217af6f0290782094cecca-1751132019111;https://185.86.155.222/playback/presentation/2.3/059f2ad29732c04932217af6f0290782094cecca-1751132019111
226;Belirsiz / Bilinmeyen Müşteri;YTE Konu: MODERNİST-POSTMODERNİST ROMAN, TARİHİ ROMAN;ID ve Kelime Eşleşmesi Bulunamadı;YTE Konu: MODERNİST-POSTMODERNİST ROMAN, TARİHİ ROMAN;14.03.2024 20:06;Bilinmiyor;c5760867efa47ccbf87fa20eebc248da660a2496-1710435983957;https://185.86.155.222/playback/presentation/2.3/c5760867efa47ccbf87fa20eebc248da660a2496-1710435983957
227;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - ÇOCUK EDEBİYATI;;SORU ÇÖZÜM-4;11.05.2025 19:55;46 dk;7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1746377330604;https://185.86.155.222/playback/presentation/2.3/7fd2f948a1f6cecb3e54a9c3e53f5c712948fe53-1746377330604
228;Belirsiz / Bilinmeyen Müşteri;KONUŞMA KAZANIMLARI;ID ve Kelime Eşleşmesi Bulunamadı;KONUŞMA KAZANIMLARI;30.11.2024 18:50;Bilinmiyor;a7bb88795d338b5aaf53e13882b28f159d978cf6-1732981844668;https://185.86.155.222/playback/presentation/2.3/a7bb88795d338b5aaf53e13882b28f159d978cf6-1732981844668
229;Belirsiz / Bilinmeyen Müşteri;Matematik 3;ID ve Kelime Eşleşmesi Bulunamadı;Matematik 3;25.09.2023 18:56;Bilinmiyor;a9357e5eaafd169b133a044c978b50e66e492e73-1695657390643;https://185.86.155.222/playback/presentation/2.3/a9357e5eaafd169b133a044c978b50e66e492e73-1695657390643
230;Türkçe ÖABTdeyiz;.2026 ÇOCUK EDEBİYATI;;ÇOCUK EDEBİYATI-16;27.04.2026 18:56;47 dk;0227ecef24ffd5f993e3a594193ec0e6cca913b3-1774285129536;https://185.86.155.222/playback/presentation/2.3/0227ecef24ffd5f993e3a594193ec0e6cca913b3-1774285129536
231;Türkçe ÖABTdeyiz;2025 - MEVZUAT;;1982 ANAYASASI 9. DERS;24.04.2025 20:52;41 dk;885cd183396123664aae15258f36ab40589223ad-1744300365169;https://185.86.155.222/playback/presentation/2.3/885cd183396123664aae15258f36ab40589223ad-1744300365169
232;Belirsiz / Bilinmeyen Müşteri;MİLLÎ EDEBİYAT ROMANI YAKUP KADRİ - REŞAT NURİ  20,;ID ve Kelime Eşleşmesi Bulunamadı;MİLLÎ EDEBİYAT ROMANI YAKUP KADRİ - REŞAT NURİ  20,;11.01.2023 20:15;Bilinmiyor;5adb491ea18d25fe032667ba5be1a17ed7fc030f-1673457322028;https://185.86.155.222/playback/presentation/2.3/5adb491ea18d25fe032667ba5be1a17ed7fc030f-1673457322028
233;Belirsiz / Bilinmeyen Müşteri;Halk edebiyatı Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Halk edebiyatı Konu: ;5.01.2024 18:40;Bilinmiyor;fcb8530314f77614b39c5507efc668fb5b3d8f7e-1704469208837;https://185.86.155.222/playback/presentation/2.3/fcb8530314f77614b39c5507efc668fb5b3d8f7e-1704469208837
234;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - ESKİ TÜRK EDEBİYATI;;şerh;14.05.2025 18:43;45 dk;7d856a5528132d97c75d058e84f41111ba0cfb69-1747414223957;https://185.86.155.222/playback/presentation/2.3/7d856a5528132d97c75d058e84f41111ba0cfb69-1747414223957
235;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1762711030531;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1762711030531
236;Belirsiz / Bilinmeyen Müşteri;5. deneme;ID ve Kelime Eşleşmesi Bulunamadı;5. deneme;18.07.2024 21:49;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721328569091;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721328569091
237;Türkçe ÖABTdeyiz;.2026 DİL BİLİM;;Gösterge Bilimi (Semiyotik) - 3 BELKİ Metin Bilimine de gireriz. :));29.03.2026 19:48;39 dk;63f2e14f54fa66ec3aceda1ecb023cfc40028865-1763134788743;https://185.86.155.222/playback/presentation/2.3/63f2e14f54fa66ec3aceda1ecb023cfc40028865-1763134788743
238;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1766944790954;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1766944790954
239;Türkçe ÖABTdeyiz;YİRMİLİ BRANŞ DENEMESİ DÖRT TEMEL BECERİ VE ALAN EĞİTİMİ ÇÖZÜM;;TEMA VE METİN ÖZELLİKLERİ;15.04.2023 17:13;50 dk;85cf7f78d52f24b1855c37e9a252bd190adc9774-1683733573394;https://185.86.155.222/playback/presentation/2.3/85cf7f78d52f24b1855c37e9a252bd190adc9774-1683733573394
240;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DİL BİLGİSİ;;4- SES BİLGİSİ;9.03.2025 20:11;44 dk;c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1776528090193;https://185.86.155.222/playback/presentation/2.3/c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1776528090193
241;Belirsiz / Bilinmeyen Müşteri;18) Dil bilgisi (Biçim/Şekil/Yapı Bilgisi-Sözcükte Yapı)-6;ID ve Kelime Eşleşmesi Bulunamadı;18) Dil bilgisi (Biçim/Şekil/Yapı Bilgisi-Sözcükte Yapı)-6;6.12.2024 20:54;Bilinmiyor;3952b1ba6290cff1170a97c1b872549e03a00571-1733507644665;https://185.86.155.222/playback/presentation/2.3/3952b1ba6290cff1170a97c1b872549e03a00571-1733507644665
242;Belirsiz / Bilinmeyen Müşteri;Yeni Türk Edebiyatı 8, TANZ. 2. KUŞAK TENKİT;ID ve Kelime Eşleşmesi Bulunamadı;Yeni Türk Edebiyatı 8, TANZ. 2. KUŞAK TENKİT;7.12.2022 21:12;Bilinmiyor;47ad9581e252e951e0b24eff427d809d1b680796-1670436721743;https://185.86.155.222/playback/presentation/2.3/47ad9581e252e951e0b24eff427d809d1b680796-1670436721743
243;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DİL BİLGİSİ;;4- SES BİLGİSİ;9.03.2025 20:11;44 dk;c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1774458582055;https://185.86.155.222/playback/presentation/2.3/c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1774458582055
244;Türkçe ÖABTdeyiz;. 2026 REHBERLİK;;KASIM AYI REHBERLİK -2;28.11.2025 22:05;61 dk;2c9c467309288b393c174b75223f4225b0d7472a-1767984335892;https://185.86.155.222/playback/presentation/2.3/2c9c467309288b393c174b75223f4225b0d7472a-1767984335892
245;Belirsiz / Bilinmeyen Müşteri;Hasan Kendir ÖYT 2 ;ID ve Kelime Eşleşmesi Bulunamadı;Hasan Kendir ÖYT 2 ;17.07.2023 18:45;Bilinmiyor;7ab67ab71b1bbf157d72dfcf328e8709400ca306-1689608740024;https://185.86.155.222/playback/presentation/2.3/7ab67ab71b1bbf157d72dfcf328e8709400ca306-1689608740024
246;Belirsiz / Bilinmeyen Müşteri;FECRİ ATİ SANATÇILARI DEVAM;ID ve Kelime Eşleşmesi Bulunamadı;FECRİ ATİ SANATÇILARI DEVAM;8.01.2023 19:02;Bilinmiyor;cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1673193722624;https://185.86.155.222/playback/presentation/2.3/cd7d05e68c71654dbb3a45bdd22d1431e50099eb-1673193722624
247;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET ROMAN-2;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET ROMAN-2;18.03.2025 20:28;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1742318892812;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1742318892812
248;Türkçe ÖABTdeyiz;.2026 HALK EDEBİYATI;;halk edebiyatında tür ve şekil;10.11.2025 18:53;40 dk;6fb816cac8d877ed782a082bbfb25c5eb5744b39-1763999791551;https://185.86.155.222/playback/presentation/2.3/6fb816cac8d877ed782a082bbfb25c5eb5744b39-1763999791551
249;Belirsiz / Bilinmeyen Müşteri;Yeni Türk Edebiyatı- 5;ID ve Kelime Eşleşmesi Bulunamadı;Yeni Türk Edebiyatı- 5;24.07.2024 18:19;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721834374524;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1721834374524
250;Türkçe ÖABTdeyiz;.2026 DÖRT TEMEL BECERİ;;DİNLEME YÖNTEM VE TEKNİKLERİ - 2;13.12.2025 20:43;32 dk;2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1774629812266;https://185.86.155.222/playback/presentation/2.3/2b34ff093a4fe562ccbd4d1dec9defa11fabe2e9-1774629812266
251;Belirsiz / Bilinmeyen Müşteri;çocuk edebiyatı 3;ID ve Kelime Eşleşmesi Bulunamadı;çocuk edebiyatı 3;3.06.2024 21:04;Bilinmiyor;43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1717437856545;https://185.86.155.222/playback/presentation/2.3/43e0c24a708ac8def75adeaf6b9f65e130d4bdd0-1717437856545
252;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1765471659383;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1765471659383
253;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - HALK EDEBİYATI;;5. ders;30.06.2024 18:46;46 dk;2989cbd1040502c55f1f74f8b38fcfc5950fc4d1-1776268418609;https://185.86.155.222/playback/presentation/2.3/2989cbd1040502c55f1f74f8b38fcfc5950fc4d1-1776268418609
254;Belirsiz / Bilinmeyen Müşteri;2024 Haziran EB Rehberlik 3;ID ve Kelime Eşleşmesi Bulunamadı;2024 Haziran EB Rehberlik 3;8.07.2024 18:53;Bilinmiyor;79c85b7c52aa84edacb79852845006865341747c-1720454029158;https://185.86.155.222/playback/presentation/2.3/79c85b7c52aa84edacb79852845006865341747c-1720454029158
255;Belirsiz / Bilinmeyen Müşteri;Ara Soru Çözüm-3;ID ve Kelime Eşleşmesi Bulunamadı;Ara Soru Çözüm-3;4.02.2025 18:53;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1738684411825;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1738684411825
256;Belirsiz / Bilinmeyen Müşteri;ÇOCUK EDBİYATI TÜRLERİ-5;ID ve Kelime Eşleşmesi Bulunamadı;ÇOCUK EDBİYATI TÜRLERİ-5;24.04.2024 22:19;Bilinmiyor;f67b4948b1592313c2fb1206ef8b9f23a7902842-1713986398005;https://185.86.155.222/playback/presentation/2.3/f67b4948b1592313c2fb1206ef8b9f23a7902842-1713986398005
257;Belirsiz / Bilinmeyen Müşteri;Eski Türk Dili 13, Fiilimsiler ve Fiilde Çatı;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk Dili 13, Fiilimsiler ve Fiilde Çatı;22.12.2022 20:02;Bilinmiyor;cf6653b024fb43b999a9991841cfb523c524e3ac-1671728544813;https://185.86.155.222/playback/presentation/2.3/cf6653b024fb43b999a9991841cfb523c524e3ac-1671728544813
258;Belirsiz / Bilinmeyen Müşteri;Bilinmeyen Toplanti;ID ve Kelime Eşleşmesi Bulunamadı;Bilinmeyen Toplanti;14.12.2023 18:57;Bilinmiyor;9483f9b4c8f357f74b159e62b0bb261e025c62ff-1702569457697;https://185.86.155.222/playback/presentation/2.3/9483f9b4c8f357f74b159e62b0bb261e025c62ff-1702569457697
259;Belirsiz / Bilinmeyen Müşteri;8. DENEME (DİLBİLGİSİ - DİLBİLİM ÇÖZÜMÜ);ID ve Kelime Eşleşmesi Bulunamadı;8. DENEME (DİLBİLGİSİ - DİLBİLİM ÇÖZÜMÜ);20.07.2024 00:10;Bilinmiyor;15a2ee8b633f754e598185dfa9a9fcf803a820c1-1721423414680;https://185.86.155.222/playback/presentation/2.3/15a2ee8b633f754e598185dfa9a9fcf803a820c1-1721423414680
260;Türkçe ÖABTdeyiz;2025 - GENEL TEKRAR;;DÖRT TEMEL BECERİ - 7;11.07.2025 18:39;45 dk;059f2ad29732c04932217af6f0290782094cecca-1751651716270;https://185.86.155.222/playback/presentation/2.3/059f2ad29732c04932217af6f0290782094cecca-1751651716270
261;Belirsiz / Bilinmeyen Müşteri;Coğrafya: ;ID ve Kelime Eşleşmesi Bulunamadı;Coğrafya: ;10.03.2025 19:53;Bilinmiyor;08abbf76009bf8a0f94a84ab491c6134bf38a000-1741625637192;https://185.86.155.222/playback/presentation/2.3/08abbf76009bf8a0f94a84ab491c6134bf38a000-1741625637192
262;Belirsiz / Bilinmeyen Müşteri;AYT Fizik:compton-görelilik-fotoelektrik olay;ID ve Kelime Eşleşmesi Bulunamadı;AYT Fizik:compton-görelilik-fotoelektrik olay;5.05.2024 09:46;Bilinmiyor;55c3d5587517f3c7a330af2210d07d85f153ec9e-1714891598734;https://185.86.155.222/playback/presentation/2.3/55c3d5587517f3c7a330af2210d07d85f153ec9e-1714891598734
263;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1762444233781;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1762444233781
264;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1761497407616;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1761497407616
265;Belirsiz / Bilinmeyen Müşteri;Eski Türk Dili 12, İsim Çekim Ekleri - Soru Çözümü;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk Dili 12, İsim Çekim Ekleri - Soru Çözümü;22.12.2022 18:35;Bilinmiyor;7f01200677f79b1a8118e806c9c74b3e44ac522a-1671723349338;https://185.86.155.222/playback/presentation/2.3/7f01200677f79b1a8118e806c9c74b3e44ac522a-1671723349338
266;Belirsiz / Bilinmeyen Müşteri;"Yeni Türk Dili 14; Cümle Türleri, Cümlenin Ögeleri";ID ve Kelime Eşleşmesi Bulunamadı;"Yeni Türk Dili 14; Cümle Türleri, Cümlenin Ögeleri";20.12.2022 20:58;Bilinmiyor;f0606cefae5dad25935200dc84fade98faaf2814-1671559127759;https://185.86.155.222/playback/presentation/2.3/f0606cefae5dad25935200dc84fade98faaf2814-1671559127759
267;Belirsiz / Bilinmeyen Müşteri;Eski Dil Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Eski Dil Konu: ;10.02.2024 20:31;Bilinmiyor;67a0ed999251ba0ebeb29147dcc4dd253e2a6427-1707586262301;https://185.86.155.222/playback/presentation/2.3/67a0ed999251ba0ebeb29147dcc4dd253e2a6427-1707586262301
268;Türkçe ÖABTdeyiz;.2026 MAARİF PROGRAMI;;ÖĞRENME ÇIKTILARI SORU ÇÖZÜMÜ - 7;13.06.2026 18:51;45 dk;51ff007f49e5d77e56517d69fb5c853e9d09bd18-1777132348272;https://185.86.155.222/playback/presentation/2.3/51ff007f49e5d77e56517d69fb5c853e9d09bd18-1777132348272
269;Türkçe ÖABTdeyiz;2025 DİL BİLİM;;SON DİL BİLİM KURAMLARI;23.12.2024 18:44;62 dk;892b584343d0c9fc7ab552c5c90bbfd699dca74d-1733759426030;https://185.86.155.222/playback/presentation/2.3/892b584343d0c9fc7ab552c5c90bbfd699dca74d-1733759426030
270;Belirsiz / Bilinmeyen Müşteri;tür ve şekiller;ID ve Kelime Eşleşmesi Bulunamadı;tür ve şekiller;17.02.2025 19:43;Bilinmiyor;f2cbea88fd85117b36715ad29b52afd6488b00e6-1739810635871;https://185.86.155.222/playback/presentation/2.3/f2cbea88fd85117b36715ad29b52afd6488b00e6-1739810635871
271;Belirsiz / Bilinmeyen Müşteri;Matematik Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Matematik Konu: ;13.10.2023 20:30;Bilinmiyor;2f27c9a0c85dc1fa318de5b49148c3e2ebee5150-1697218210706;https://185.86.155.222/playback/presentation/2.3/2f27c9a0c85dc1fa318de5b49148c3e2ebee5150-1697218210706
272;Belirsiz / Bilinmeyen Müşteri;TYT Kimya Soru Çözümü;ID ve Kelime Eşleşmesi Bulunamadı;TYT Kimya Soru Çözümü;25.05.2024 19:02;Bilinmiyor;8e61eb5f555233caf4407c28414876d3b7174667-1716652924172;https://185.86.155.222/playback/presentation/2.3/8e61eb5f555233caf4407c28414876d3b7174667-1716652924172
273;Belirsiz / Bilinmeyen Müşteri;Bilinmeyen Toplanti;ID ve Kelime Eşleşmesi Bulunamadı;Bilinmeyen Toplanti;18.01.2024 18:53;Bilinmiyor;9483f9b4c8f357f74b159e62b0bb261e025c62ff-1705593228088;https://185.86.155.222/playback/presentation/2.3/9483f9b4c8f357f74b159e62b0bb261e025c62ff-1705593228088
274;Belirsiz / Bilinmeyen Müşteri;2. DENEME (EDEBİYAT DERSLERİ ÇÖZÜMÜ);ID ve Kelime Eşleşmesi Bulunamadı;2. DENEME (EDEBİYAT DERSLERİ ÇÖZÜMÜ);12.03.2024 00:50;Bilinmiyor;15a2ee8b633f754e598185dfa9a9fcf803a820c1-1710193821372;https://185.86.155.222/playback/presentation/2.3/15a2ee8b633f754e598185dfa9a9fcf803a820c1-1710193821372
275;Belirsiz / Bilinmeyen Müşteri;sanatlar;ID ve Kelime Eşleşmesi Bulunamadı;sanatlar;27.12.2023 20:45;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1703699135647;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1703699135647
276;Belirsiz / Bilinmeyen Müşteri;YTE Soru Çözümü;ID ve Kelime Eşleşmesi Bulunamadı;YTE Soru Çözümü;15.05.2024 18:53;Bilinmiyor;fe480f83cf04c7e72b09b8ad64a25100295ff7d1-1715788380722;https://185.86.155.222/playback/presentation/2.3/fe480f83cf04c7e72b09b8ad64a25100295ff7d1-1715788380722
277;Türkçe ÖABTdeyiz;.2026 ÇOCUK EDEBİYATI;;ÇOCUK EDEBİYATI-16;27.04.2026 18:56;47 dk;0227ecef24ffd5f993e3a594193ec0e6cca913b3-1776707488531;https://185.86.155.222/playback/presentation/2.3/0227ecef24ffd5f993e3a594193ec0e6cca913b3-1776707488531
278;Belirsiz / Bilinmeyen Müşteri;Vatandaşlık Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Vatandaşlık Konu: ;13.03.2024 20:00;Bilinmiyor;3ba87e9dba4566af423db4970fc0a9a81e7f8ee4-1710349216011;https://185.86.155.222/playback/presentation/2.3/3ba87e9dba4566af423db4970fc0a9a81e7f8ee4-1710349216011
279;Belirsiz / Bilinmeyen Müşteri;beyit şerhi ve nazım şekilleri;ID ve Kelime Eşleşmesi Bulunamadı;beyit şerhi ve nazım şekilleri;29.11.2023 18:56;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1701273386959;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1701273386959
280;Belirsiz / Bilinmeyen Müşteri;DİNLEME TÜRLERİ- 1;ID ve Kelime Eşleşmesi Bulunamadı;DİNLEME TÜRLERİ- 1;11.11.2023 21:08;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699726085053;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699726085053
281;Belirsiz / Bilinmeyen Müşteri;DÜNYA EDEBİYATI SON 3;ID ve Kelime Eşleşmesi Bulunamadı;DÜNYA EDEBİYATI SON 3;10.03.2024 22:29;Bilinmiyor;8b04ea855d9d5c790faa74e3a476ed6085b6364e-1710098948545;https://185.86.155.222/playback/presentation/2.3/8b04ea855d9d5c790faa74e3a476ed6085b6364e-1710098948545
282;Belirsiz / Bilinmeyen Müşteri;deneme hukuk segbis;ID ve Kelime Eşleşmesi Bulunamadı;deneme hukuk segbis;25.08.2025 21:44;Bilinmiyor;ad151c576f601dc0151d34b6e523c0f23a933705-1756147487011;https://185.86.155.222/playback/presentation/2.3/ad151c576f601dc0151d34b6e523c0f23a933705-1756147487011
283;Belirsiz / Bilinmeyen Müşteri;TYT Din Kültürü: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Din Kültürü: ;16.02.2024 18:57;Bilinmiyor;fd228e321dbb94df0cd1dbaa89a38de3fec308e6-1708099078397;https://185.86.155.222/playback/presentation/2.3/fd228e321dbb94df0cd1dbaa89a38de3fec308e6-1708099078397
284;Belirsiz / Bilinmeyen Müşteri;2025 Yeni Türk Dili Soru Çözümü ;ID ve Kelime Eşleşmesi Bulunamadı;2025 Yeni Türk Dili Soru Çözümü ;5.12.2024 18:45;Bilinmiyor;9fdf07051d9819d47eb1dd382da6ff4ee02c8440-1733413536015;https://185.86.155.222/playback/presentation/2.3/9fdf07051d9819d47eb1dd382da6ff4ee02c8440-1733413536015
285;Türkçe ÖABTdeyiz;.2026 DİL BİLGİSİ;;ŞEKİL/YAPI/BİÇİM BİLGİSİ ( Yapısı Bakımından Sözcükler)-1;18.11.2025 18:59;41 dk;dc12c9d877c70209ea7d0274e884c99ee397001f-1765295662243;https://185.86.155.222/playback/presentation/2.3/dc12c9d877c70209ea7d0274e884c99ee397001f-1765295662243
286;Belirsiz / Bilinmeyen Müşteri;OKUMA BECERİSİNİ GELİŞTİRME ÇALIŞMALARI;ID ve Kelime Eşleşmesi Bulunamadı;OKUMA BECERİSİNİ GELİŞTİRME ÇALIŞMALARI;14.01.2024 19:49;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1705250989876;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1705250989876
287;Türkçe ÖABTdeyiz;2025 ESKİ TÜRK EDEBİYATI;;aruz ve işlemler;29.01.2025 20:38;43 dk;fe534ba2be486200b29eba3998f61d35ede4b765-1738770898962;https://185.86.155.222/playback/presentation/2.3/fe534ba2be486200b29eba3998f61d35ede4b765-1738770898962
288;Belirsiz / Bilinmeyen Müşteri;YTE Konu: Ömer Seyfettin ve Bağımsızlar;ID ve Kelime Eşleşmesi Bulunamadı;YTE Konu: Ömer Seyfettin ve Bağımsızlar;20.01.2024 18:59;Bilinmiyor;74ed3dc46c2cf555dcb20ef7302a408164379714-1705766384431;https://185.86.155.222/playback/presentation/2.3/74ed3dc46c2cf555dcb20ef7302a408164379714-1705766384431
289;Belirsiz / Bilinmeyen Müşteri;Osmanlı Tarih: ;ID ve Kelime Eşleşmesi Bulunamadı;Osmanlı Tarih: ;11.12.2023 20:34;Bilinmiyor;eafdf87d92d032163031a61a99792e3b13e2dda5-1702316045358;https://185.86.155.222/playback/presentation/2.3/eafdf87d92d032163031a61a99792e3b13e2dda5-1702316045358
290;Türkçe ÖABTdeyiz;.2026 DİL BİLİM;;Gösterge Bilimi (Semiyotik) - 3 BELKİ Metin Bilimine de gireriz. :));29.03.2026 19:48;39 dk;63f2e14f54fa66ec3aceda1ecb023cfc40028865-1763139681299;https://185.86.155.222/playback/presentation/2.3/63f2e14f54fa66ec3aceda1ecb023cfc40028865-1763139681299
291;Belirsiz / Bilinmeyen Müşteri;Eski Türk Dili 31, Türk Dillerinin Tarihsel Gelişimi;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk Dili 31, Türk Dillerinin Tarihsel Gelişimi;19.01.2023 19:54;Bilinmiyor;b463c7dc4ec49555b99c85b74f9589582576c1ed-1674147292903;https://185.86.155.222/playback/presentation/2.3/b463c7dc4ec49555b99c85b74f9589582576c1ed-1674147292903
292;Belirsiz / Bilinmeyen Müşteri;TYT Kimya Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Kimya Konu: ;20.10.2023 18:51;Bilinmiyor;bd4384b32c09b8576d6eb70c9de558b5ab33981a-1697817094047;https://185.86.155.222/playback/presentation/2.3/bd4384b32c09b8576d6eb70c9de558b5ab33981a-1697817094047
293;Türkçe ÖABTdeyiz;2025 - GENEL TEKRAR;;DÖRT TEMEL BECERİ - 7;11.07.2025 18:39;45 dk;059f2ad29732c04932217af6f0290782094cecca-1751392887493;https://185.86.155.222/playback/presentation/2.3/059f2ad29732c04932217af6f0290782094cecca-1751392887493
294;Belirsiz / Bilinmeyen Müşteri;CUMHURİYET ŞİİRİ-7;ID ve Kelime Eşleşmesi Bulunamadı;CUMHURİYET ŞİİRİ-7;25.02.2025 18:57;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1740499040518;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1740499040518
295;Belirsiz / Bilinmeyen Müşteri;AYT Kimya ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Kimya ;2.06.2024 19:01;Bilinmiyor;c86860633e0db4fdb55fd06cfa974eeae45a23ab-1717344109355;https://185.86.155.222/playback/presentation/2.3/c86860633e0db4fdb55fd06cfa974eeae45a23ab-1717344109355
296;Belirsiz / Bilinmeyen Müşteri;8. SÖZCÜK TÜRLERİ (EDAT-BAĞLAÇ-ÜNLEM);ID ve Kelime Eşleşmesi Bulunamadı;8. SÖZCÜK TÜRLERİ (EDAT-BAĞLAÇ-ÜNLEM);29.04.2024 20:01;Bilinmiyor;403e7c4599e9a25f7617b1b86e974585ad29418a-1714410099456;https://185.86.155.222/playback/presentation/2.3/403e7c4599e9a25f7617b1b86e974585ad29418a-1714410099456
297;Belirsiz / Bilinmeyen Müşteri;Savunma Sanayii, Robotik ve Uzay Teknolojileri;ID ve Kelime Eşleşmesi Bulunamadı;Savunma Sanayii, Robotik ve Uzay Teknolojileri;4.08.2025 23:01;Bilinmiyor;88d69de1a3b9f514bd92c3c9a1f91277fccb196d-1754337686671;https://185.86.155.222/playback/presentation/2.3/88d69de1a3b9f514bd92c3c9a1f91277fccb196d-1754337686671
298;Belirsiz / Bilinmeyen Müşteri;2025 Yeni Türk Edebiyatı Son Ders;ID ve Kelime Eşleşmesi Bulunamadı;2025 Yeni Türk Edebiyatı Son Ders;16.05.2025 18:46;Bilinmiyor;21f6643a5d29fdeb6ea0bbf295271d3aecf8908a-1747410372316;https://185.86.155.222/playback/presentation/2.3/21f6643a5d29fdeb6ea0bbf295271d3aecf8908a-1747410372316
299;Belirsiz / Bilinmeyen Müşteri;Bilinmeyen Toplanti;ID ve Kelime Eşleşmesi Bulunamadı;Bilinmeyen Toplanti;7.04.2024 17:11;Bilinmiyor;8641f7f8a4fffaf3b013dd1945356f18a2bccbc5-1712499102809;https://185.86.155.222/playback/presentation/2.3/8641f7f8a4fffaf3b013dd1945356f18a2bccbc5-1712499102809
